CDCFFNGI_00002	K10026
CDCFFNGI_00003	K00059
CDCFFNGI_00004	K02078
CDCFFNGI_00005	K09458
CDCFFNGI_00006	K01962
CDCFFNGI_00007	K12251
CDCFFNGI_00008	K03820
CDCFFNGI_00009	K03210
CDCFFNGI_00010	K03072
CDCFFNGI_00011	K03074
CDCFFNGI_00013	K01869
CDCFFNGI_00015	K11754
CDCFFNGI_00019	K03116
CDCFFNGI_00020	K01887
CDCFFNGI_00021	K06942
CDCFFNGI_00022	K05592
CDCFFNGI_00023	K02483
CDCFFNGI_00024	K02484
CDCFFNGI_00025	K14445
CDCFFNGI_00026	K03776
CDCFFNGI_00027	K03406
CDCFFNGI_00030	K02836
CDCFFNGI_00034	K01918
CDCFFNGI_00035	K14441
CDCFFNGI_00038	K07304
CDCFFNGI_00039	K00759
CDCFFNGI_00040	K01696
CDCFFNGI_00042	K01255
CDCFFNGI_00044	K02456
CDCFFNGI_00046	K02653
CDCFFNGI_00049	K00003
CDCFFNGI_00050	K14261
CDCFFNGI_00052	K03218
CDCFFNGI_00054	K07056
CDCFFNGI_00055	K02909
CDCFFNGI_00056	K06180
CDCFFNGI_00058	K11175
CDCFFNGI_00059	K01756
CDCFFNGI_00061	K09792
CDCFFNGI_00067	K00406
CDCFFNGI_00069	K00405
CDCFFNGI_00070	K00404
CDCFFNGI_00072	K17686
CDCFFNGI_00074	K03386
CDCFFNGI_00076	K00525
CDCFFNGI_00079	K02049
CDCFFNGI_00080	K02050
CDCFFNGI_00082	K08970
CDCFFNGI_00086	K01658
CDCFFNGI_00088	K02916
CDCFFNGI_00089	K02887
CDCFFNGI_00091	K22470
CDCFFNGI_00092	K03752
CDCFFNGI_00093	K01703
CDCFFNGI_00095	K01953
CDCFFNGI_00100	K02484
CDCFFNGI_00101	K02483
CDCFFNGI_00102	K01904
CDCFFNGI_00108	K02483
CDCFFNGI_00109	K07644
CDCFFNGI_00110	K03776
CDCFFNGI_00112	K02573
CDCFFNGI_00114	K02574
CDCFFNGI_00119	K04561
CDCFFNGI_00128	K02303
CDCFFNGI_00134	K02304
CDCFFNGI_00136	K09155
CDCFFNGI_00138	K04751
CDCFFNGI_00139	K03320
CDCFFNGI_00143	K03168
CDCFFNGI_00144	K07095
CDCFFNGI_00145	K01012
CDCFFNGI_00149	K01689
CDCFFNGI_00150	K03553
CDCFFNGI_00151	K01881
CDCFFNGI_00154	K01749
CDCFFNGI_00156	K02031
CDCFFNGI_00157	K01772
CDCFFNGI_00159	K00554
CDCFFNGI_00160	K02884
CDCFFNGI_00164	K07114
CDCFFNGI_00167	K03924
CDCFFNGI_00168	K00891
CDCFFNGI_00169	K00013
CDCFFNGI_00172	K04043
CDCFFNGI_00173	K03687
CDCFFNGI_00176	K04084
CDCFFNGI_00182	K17103
CDCFFNGI_00189	K02314
CDCFFNGI_00190	K22391
CDCFFNGI_00191	K07164
CDCFFNGI_00193	K02110
CDCFFNGI_00196	K07305
CDCFFNGI_00198	K02483
CDCFFNGI_00199	K02484
CDCFFNGI_00203	K02004
CDCFFNGI_00204	K02003
CDCFFNGI_00212	K01990
CDCFFNGI_00220	K02003
CDCFFNGI_00222	K00208
CDCFFNGI_00223	K01803
CDCFFNGI_00224	K21636
CDCFFNGI_00228	K04069
CDCFFNGI_00229	K02483
CDCFFNGI_00230	K07698
CDCFFNGI_00231	K00134
CDCFFNGI_00232	K00927
CDCFFNGI_00233	K00134
CDCFFNGI_00234	K00969
CDCFFNGI_00235	K09710
CDCFFNGI_00238	K11785
CDCFFNGI_00239	K06867
CDCFFNGI_00240	K06970
CDCFFNGI_00241	K00075
CDCFFNGI_00243	K02523
CDCFFNGI_00244	K02492
CDCFFNGI_00245	K11072
