FGJAFLCN_00003	K05685
FGJAFLCN_00004	K02004
FGJAFLCN_00005	K02003
FGJAFLCN_00007	K12450
FGJAFLCN_00008	K03466
FGJAFLCN_00009	K02428
FGJAFLCN_00011	K03657
FGJAFLCN_00013	K03086
FGJAFLCN_00014	K02316
FGJAFLCN_00015	K00648
FGJAFLCN_00016	K11392
FGJAFLCN_00021	K01869
FGJAFLCN_00024	K03977
FGJAFLCN_00027	K07082
FGJAFLCN_00031	K00075
FGJAFLCN_00033	K01885
FGJAFLCN_00034	K12736
FGJAFLCN_00035	K02563
FGJAFLCN_00036	K03588
FGJAFLCN_00038	K03086
FGJAFLCN_00040	K03070
FGJAFLCN_00041	K02343
FGJAFLCN_00044	K09013
FGJAFLCN_00046	K09807
FGJAFLCN_00052	K09014
FGJAFLCN_00067	K00612
FGJAFLCN_00075	K03088
FGJAFLCN_00078	K02836
FGJAFLCN_00081	K02520
FGJAFLCN_00083	K02887
FGJAFLCN_00085	K02120
FGJAFLCN_00087	K02118
FGJAFLCN_00088	K02117
FGJAFLCN_00093	K02124
FGJAFLCN_00094	K02123
FGJAFLCN_00097	K01905
FGJAFLCN_00099	K00174
FGJAFLCN_00100	K00175
FGJAFLCN_00104	K00554
FGJAFLCN_00108	K05946
FGJAFLCN_00110	K01834
FGJAFLCN_00111	K01791
FGJAFLCN_00116	K01951
FGJAFLCN_00117	K03088
FGJAFLCN_00119	K02356
FGJAFLCN_00120	K02434
FGJAFLCN_00121	K01462
FGJAFLCN_00122	K02342
FGJAFLCN_00123	K10773
FGJAFLCN_00126	K00560
FGJAFLCN_00127	K00287
FGJAFLCN_00129	K01495
FGJAFLCN_00131	K00950
FGJAFLCN_00134	K03072
FGJAFLCN_00136	K00975
FGJAFLCN_00139	K03215
FGJAFLCN_00140	K00783
FGJAFLCN_00148	K03703
FGJAFLCN_00149	K16870
FGJAFLCN_00150	K02897
FGJAFLCN_00163	K01587
FGJAFLCN_00164	K21929
FGJAFLCN_00166	K01889
FGJAFLCN_00168	K00762
FGJAFLCN_00169	K03501
FGJAFLCN_00170	K02427
FGJAFLCN_00171	K09812
FGJAFLCN_00173	K01933
FGJAFLCN_00184	K14652
FGJAFLCN_00186	K00794
FGJAFLCN_00187	K00793
FGJAFLCN_00189	K03701
FGJAFLCN_00192	K07098
FGJAFLCN_00193	K02347
FGJAFLCN_00200	K01890
FGJAFLCN_00201	K00798
FGJAFLCN_00203	K17732
FGJAFLCN_00204	K00940
FGJAFLCN_00206	K03797
FGJAFLCN_00208	K22316
FGJAFLCN_00210	K04042
FGJAFLCN_00211	K02338
FGJAFLCN_00212	K03723
FGJAFLCN_00220	K01876
FGJAFLCN_00222	K07738
FGJAFLCN_00223	K07566
FGJAFLCN_00224	K02337
FGJAFLCN_00231	K03111
FGJAFLCN_00232	K15726
FGJAFLCN_00241	K01262
FGJAFLCN_00244	K03642
FGJAFLCN_00245	K02982
FGJAFLCN_00246	K02890
FGJAFLCN_00247	K02965
FGJAFLCN_00248	K02886
FGJAFLCN_00250	K02926
FGJAFLCN_00251	K02906
FGJAFLCN_00257	K01174
FGJAFLCN_00263	K03686
FGJAFLCN_00266	K07462
FGJAFLCN_00268	K06153
FGJAFLCN_00269	K06872
FGJAFLCN_00270	K03744
FGJAFLCN_00271	K08974
FGJAFLCN_00274	K00963
FGJAFLCN_00278	K03702
FGJAFLCN_00281	K01875
FGJAFLCN_00289	K01446
FGJAFLCN_00291	K00789
FGJAFLCN_00293	K00036
FGJAFLCN_00294	K01057
FGJAFLCN_00295	K07460
FGJAFLCN_00296	K07391
FGJAFLCN_00297	K01591
FGJAFLCN_00302	K00790
FGJAFLCN_00304	K02600
FGJAFLCN_00323	K04763
FGJAFLCN_00328	K00927
FGJAFLCN_00330	K02851
FGJAFLCN_00332	K19304
FGJAFLCN_00333	K06925
FGJAFLCN_00338	K00791
FGJAFLCN_00339	K01358
FGJAFLCN_00346	K10224
FGJAFLCN_00347	K10106
FGJAFLCN_00351	K00609
FGJAFLCN_00352	K01465
FGJAFLCN_00357	K12574
FGJAFLCN_00359	K14656
FGJAFLCN_00361	K02654
FGJAFLCN_00362	K03664
FGJAFLCN_00364	K06187
FGJAFLCN_00366	K00602
FGJAFLCN_00367	K02483
FGJAFLCN_00368	K02652
FGJAFLCN_00376	K03530
FGJAFLCN_00377	K03168
FGJAFLCN_00383	K19304
FGJAFLCN_00384	K01129
FGJAFLCN_00385	K05810
FGJAFLCN_00386	K17758
FGJAFLCN_00391	K01056
FGJAFLCN_00394	K03100
FGJAFLCN_00396	K02601
FGJAFLCN_00398	K01512
FGJAFLCN_00400	K00526
FGJAFLCN_00401	K00525
FGJAFLCN_00402	K01952
FGJAFLCN_00405	K01924
FGJAFLCN_00408	K02899
FGJAFLCN_00410	K03596
FGJAFLCN_00415	K02884
FGJAFLCN_00419	K02519
FGJAFLCN_00420	K06881
FGJAFLCN_00423	K01689
FGJAFLCN_00425	K03284
FGJAFLCN_00429	K01868
FGJAFLCN_00430	K02313
FGJAFLCN_00431	K11749
FGJAFLCN_00432	K02242
FGJAFLCN_00436	K01520
FGJAFLCN_00437	K03531
FGJAFLCN_00438	K03590
FGJAFLCN_00439	K02335
FGJAFLCN_00444	K03177
FGJAFLCN_00448	K00948
FGJAFLCN_00453	K01246
FGJAFLCN_00455	K01159
FGJAFLCN_00456	K03629
FGJAFLCN_00459	K00384
FGJAFLCN_00460	K00262
FGJAFLCN_00461	K06137
FGJAFLCN_00462	K02016
FGJAFLCN_00463	K18263
FGJAFLCN_00466	K01925
FGJAFLCN_00467	K03687
FGJAFLCN_00468	K07301
FGJAFLCN_00472	K14713
FGJAFLCN_00474	K01507
FGJAFLCN_00478	K12132
FGJAFLCN_00480	K01929
FGJAFLCN_00481	K15895
FGJAFLCN_00485	K01887
FGJAFLCN_00488	K06881
FGJAFLCN_00490	K00604
FGJAFLCN_00493	K01874
FGJAFLCN_00498	K03424
FGJAFLCN_00499	K07243
FGJAFLCN_00503	K03551
FGJAFLCN_00505	K02867
FGJAFLCN_00507	K02863
FGJAFLCN_00508	K05540
FGJAFLCN_00511	K03696
FGJAFLCN_00514	K02945
FGJAFLCN_00515	K02503
FGJAFLCN_00521	K06158
FGJAFLCN_00523	K02199
FGJAFLCN_00526	K08681
FGJAFLCN_00527	K06215
FGJAFLCN_00529	K16052
FGJAFLCN_00530	K01823
FGJAFLCN_00531	K00806
FGJAFLCN_00533	K01597
FGJAFLCN_00534	K00021
FGJAFLCN_00535	K01641
FGJAFLCN_00536	K00626
FGJAFLCN_00537	K00942
FGJAFLCN_00541	K01092
FGJAFLCN_00542	K06287
FGJAFLCN_00551	K07305
FGJAFLCN_00552	K06207
FGJAFLCN_00555	K16066
FGJAFLCN_00556	K06889
FGJAFLCN_00562	K00754
FGJAFLCN_00565	K01710
FGJAFLCN_00566	K00973
FGJAFLCN_00568	K16150
FGJAFLCN_00569	K16150
FGJAFLCN_00571	K21304
FGJAFLCN_00581	K02050
FGJAFLCN_00582	K02049
FGJAFLCN_00583	K06969
FGJAFLCN_00584	K06941
FGJAFLCN_00593	K00567
FGJAFLCN_00600	K00130
FGJAFLCN_00601	K07716
FGJAFLCN_00603	K02669
FGJAFLCN_00607	K01972
FGJAFLCN_00612	K05844
FGJAFLCN_00617	K01756
FGJAFLCN_00618	K03798
FGJAFLCN_00619	K00728
FGJAFLCN_00624	K22020
FGJAFLCN_00625	K01923
FGJAFLCN_00627	K09005
FGJAFLCN_00628	K01783
FGJAFLCN_00629	K01808
FGJAFLCN_00630	K01803
FGJAFLCN_00634	K04096
FGJAFLCN_00638	K02996
FGJAFLCN_00639	K02871
FGJAFLCN_00640	K02879
FGJAFLCN_00641	K03040
FGJAFLCN_00642	K02986
FGJAFLCN_00643	K02948
FGJAFLCN_00644	K02952
FGJAFLCN_00645	K02518
FGJAFLCN_00646	K01265
FGJAFLCN_00647	K00939
FGJAFLCN_00649	K03076
FGJAFLCN_00650	K02876
FGJAFLCN_00652	K06233
FGJAFLCN_00655	K02988
FGJAFLCN_00656	K02881
FGJAFLCN_00657	K06863
FGJAFLCN_00661	K03671
FGJAFLCN_00662	K01810
FGJAFLCN_00663	K03550
FGJAFLCN_00664	K19304
FGJAFLCN_00666	K07056
FGJAFLCN_00671	K00951
FGJAFLCN_00675	K01870
FGJAFLCN_00679	K09884
FGJAFLCN_00681	K07304
FGJAFLCN_00689	K01872
FGJAFLCN_00696	K01892
FGJAFLCN_00698	K02470
FGJAFLCN_00700	K03797
FGJAFLCN_00703	K01880
FGJAFLCN_00710	K20049
FGJAFLCN_00715	K01724
FGJAFLCN_00716	K01866
FGJAFLCN_00718	K06180
FGJAFLCN_00721	K02454
FGJAFLCN_00722	K03587
FGJAFLCN_00724	K00820
FGJAFLCN_00725	K02968
FGJAFLCN_00727	K03086
FGJAFLCN_00736	K03046
FGJAFLCN_00740	K12234
FGJAFLCN_00741	K11175
FGJAFLCN_00742	K02641
FGJAFLCN_00743	K01956
FGJAFLCN_00750	K18682
FGJAFLCN_00755	K03575
FGJAFLCN_00757	K02358
FGJAFLCN_00758	K02946
FGJAFLCN_00760	K03625
FGJAFLCN_00761	K03685
FGJAFLCN_00762	K06890
FGJAFLCN_00765	K00796
FGJAFLCN_00766	K01835
FGJAFLCN_00771	K01424
FGJAFLCN_00772	K00942
FGJAFLCN_00776	K06863
FGJAFLCN_00782	K00847
FGJAFLCN_00786	K03074
FGJAFLCN_00787	K03545
FGJAFLCN_00788	K00951
FGJAFLCN_00789	K07560
FGJAFLCN_00790	K02864
FGJAFLCN_00791	K02935
FGJAFLCN_00795	K03778
FGJAFLCN_00799	K01356
FGJAFLCN_00800	K02346
FGJAFLCN_00801	K01873
FGJAFLCN_00806	K00962
FGJAFLCN_00809	K01779
FGJAFLCN_00812	K02956
FGJAFLCN_00814	K03657
FGJAFLCN_00817	K02528
FGJAFLCN_00818	K02238
FGJAFLCN_00822	K07461
FGJAFLCN_00825	K02823
FGJAFLCN_00826	K17828
FGJAFLCN_00830	K01999
FGJAFLCN_00831	K06861
FGJAFLCN_00833	K01937
FGJAFLCN_00836	K15987
FGJAFLCN_00840	K01881
FGJAFLCN_00841	K09775
FGJAFLCN_00845	K01251
FGJAFLCN_00846	K00856
FGJAFLCN_00847	K00012
FGJAFLCN_00848	K08679
FGJAFLCN_00851	K00721
FGJAFLCN_00852	K08679
