OFPGINBK_00002	K01062
OFPGINBK_00003	K17231
OFPGINBK_00007	K05982
OFPGINBK_00008	K01915
OFPGINBK_00010	K00537
OFPGINBK_00021	K06213
OFPGINBK_00022	K07052
OFPGINBK_00023	K03437
OFPGINBK_00025	K01881
OFPGINBK_00029	K02556
OFPGINBK_00030	K02557
OFPGINBK_00033	K01689
OFPGINBK_00043	K01448
OFPGINBK_00044	K01776
OFPGINBK_00045	K11754
OFPGINBK_00046	K03628
OFPGINBK_00048	K00812
OFPGINBK_00049	K02909
OFPGINBK_00051	K02835
OFPGINBK_00052	K02493
OFPGINBK_00054	K03575
OFPGINBK_00055	K15781
OFPGINBK_00057	K11152
OFPGINBK_00058	K01120
OFPGINBK_00059	K01372
OFPGINBK_00060	K00864
OFPGINBK_00063	K03593
OFPGINBK_00064	K00806
OFPGINBK_00065	K07277
OFPGINBK_00067	K02536
OFPGINBK_00068	K02535
OFPGINBK_00069	K02372
OFPGINBK_00070	K00677
OFPGINBK_00072	K00099
OFPGINBK_00073	K11749
OFPGINBK_00075	K07566
OFPGINBK_00076	K02517
OFPGINBK_00087	K00859
OFPGINBK_00088	K00939
OFPGINBK_00089	K11536
OFPGINBK_00090	K00857
OFPGINBK_00091	K00876
OFPGINBK_00092	K01489
OFPGINBK_00098	K03741
OFPGINBK_00100	K07319
OFPGINBK_00103	K02316
OFPGINBK_00112	K14389
OFPGINBK_00114	K00138
OFPGINBK_00115	K09959
OFPGINBK_00118	K01724
OFPGINBK_00120	K01897
OFPGINBK_00121	K01996
OFPGINBK_00122	K01995
OFPGINBK_00124	K11961
OFPGINBK_00125	K01997
OFPGINBK_00134	K03088
OFPGINBK_00135	K03671
OFPGINBK_00138	K07814
OFPGINBK_00139	K01897
OFPGINBK_00141	K08976
OFPGINBK_00142	K02257
OFPGINBK_00144	K02259
OFPGINBK_00150	K02636
OFPGINBK_00151	K00412
OFPGINBK_00159	K02274
OFPGINBK_00160	K02276
OFPGINBK_00164	K02275
OFPGINBK_00166	K05359
OFPGINBK_00167	K15227
OFPGINBK_00168	K01626
OFPGINBK_00169	K00800
OFPGINBK_00170	K00014
OFPGINBK_00171	K01736
OFPGINBK_00172	K00891
OFPGINBK_00173	K01735
OFPGINBK_00174	K03786
OFPGINBK_00179	K10716
OFPGINBK_00180	K01955
OFPGINBK_00183	K01990
OFPGINBK_00184	K01956
OFPGINBK_00190	K01972
OFPGINBK_00193	K01990
OFPGINBK_00194	K01992
OFPGINBK_00197	K03621
OFPGINBK_00199	K03641
OFPGINBK_00200	K20866
OFPGINBK_00201	K01247
OFPGINBK_00203	K01262
OFPGINBK_00205	K01849
OFPGINBK_00206	K07560
OFPGINBK_00207	K02337
OFPGINBK_00208	K17105
OFPGINBK_00211	K04066
OFPGINBK_00212	K02939
OFPGINBK_00213	K02963
OFPGINBK_00215	K15987
OFPGINBK_00216	K01056
OFPGINBK_00217	K02897
OFPGINBK_00218	K00948
OFPGINBK_00220	K00919
OFPGINBK_00224	K01770
OFPGINBK_00225	K00991
OFPGINBK_00226	K07568
OFPGINBK_00227	K03551
OFPGINBK_00228	K03701
OFPGINBK_00229	K07735
OFPGINBK_00236	K00208
OFPGINBK_00237	K01716
OFPGINBK_00238	K06942
OFPGINBK_00240	K03810
OFPGINBK_00242	K00748
OFPGINBK_00243	K09778
OFPGINBK_00244	K00912
OFPGINBK_00248	K03797
OFPGINBK_00249	K03561
OFPGINBK_00253	K00240
OFPGINBK_00254	K00239
OFPGINBK_00258	K01919
OFPGINBK_00263	K01006
OFPGINBK_00264	K01667
OFPGINBK_00265	K00176
OFPGINBK_00266	K00174
OFPGINBK_00267	K00175
OFPGINBK_00268	K00177
OFPGINBK_00270	K00929
OFPGINBK_00273	K01246
OFPGINBK_00276	K06911
OFPGINBK_00279	K02557
OFPGINBK_00280	K02556
OFPGINBK_00284	K00500
OFPGINBK_00286	K17744
OFPGINBK_00295	K07979
OFPGINBK_00297	K09022
OFPGINBK_00308	K02343
OFPGINBK_00309	K01874
OFPGINBK_00311	K15537
OFPGINBK_00312	K03424
OFPGINBK_00313	K02528
OFPGINBK_00315	K02970
OFPGINBK_00316	K01840
OFPGINBK_00317	K01619
OFPGINBK_00318	K00128
OFPGINBK_00319	K00128
OFPGINBK_00320	K03783
OFPGINBK_00321	K00758
OFPGINBK_00322	K03215
OFPGINBK_00323	K03442
OFPGINBK_00325	K01586
OFPGINBK_00334	K10947
OFPGINBK_00336	K00873
OFPGINBK_00338	K06195
OFPGINBK_00340	K01595
OFPGINBK_00341	K08305
OFPGINBK_00345	K13444
OFPGINBK_00355	K00648
OFPGINBK_00356	K12796
OFPGINBK_00361	K07003
OFPGINBK_00362	K00949
OFPGINBK_00364	K01624
OFPGINBK_00365	K00850
OFPGINBK_00370	K21424
OFPGINBK_00371	K01907
OFPGINBK_00372	K00134
OFPGINBK_00373	K00134
OFPGINBK_00376	K11725
OFPGINBK_00380	K03716
OFPGINBK_00383	K11325
OFPGINBK_00384	K00496
OFPGINBK_00393	K06991
OFPGINBK_00396	K03704
OFPGINBK_00398	K01338
OFPGINBK_00400	K03644
OFPGINBK_00402	K00658
OFPGINBK_00403	K11381
