FEKHAPIA_00004	K01869
FEKHAPIA_00006	K07304
FEKHAPIA_00008	K15537
FEKHAPIA_00010	K00259
FEKHAPIA_00011	K00962
FEKHAPIA_00012	K02956
FEKHAPIA_00013	K11753
FEKHAPIA_00014	K03177
FEKHAPIA_00016	K02519
FEKHAPIA_00017	K02600
FEKHAPIA_00019	K07146
FEKHAPIA_00031	K00759
FEKHAPIA_00034	K06137
FEKHAPIA_00038	K11259
FEKHAPIA_00039	K03797
FEKHAPIA_00040	K00943
FEKHAPIA_00041	K07056
FEKHAPIA_00042	K03918
FEKHAPIA_00050	K00981
FEKHAPIA_00051	K07029
FEKHAPIA_00052	K03642
FEKHAPIA_00053	K17828
FEKHAPIA_00060	K07729
FEKHAPIA_00062	K02433
FEKHAPIA_00065	K03979
FEKHAPIA_00066	K00031
FEKHAPIA_00067	K00954
FEKHAPIA_00071	K03686
FEKHAPIA_00072	K03687
FEKHAPIA_00074	K09812
FEKHAPIA_00075	K07301
FEKHAPIA_00076	K00969
FEKHAPIA_00079	K21393
FEKHAPIA_00082	K00600
FEKHAPIA_00087	K05837
FEKHAPIA_00088	K05515
FEKHAPIA_00091	K03569
FEKHAPIA_00096	K00384
FEKHAPIA_00097	K03671
FEKHAPIA_00098	K01866
FEKHAPIA_00099	K03664
FEKHAPIA_00103	K08602
FEKHAPIA_00104	K07001
FEKHAPIA_00105	K03768
FEKHAPIA_00106	K07053
FEKHAPIA_00109	K00616
FEKHAPIA_00115	K15227
FEKHAPIA_00116	K04518
FEKHAPIA_00117	K03786
FEKHAPIA_00118	K01735
FEKHAPIA_00119	K00891
FEKHAPIA_00120	K01736
FEKHAPIA_00121	K00014
FEKHAPIA_00122	K00800
FEKHAPIA_00123	K01626
FEKHAPIA_00125	K01434
FEKHAPIA_00127	K00567
FEKHAPIA_00133	K01278
FEKHAPIA_00134	K03769
FEKHAPIA_00135	K01962
FEKHAPIA_00136	K00721
FEKHAPIA_00140	K03596
FEKHAPIA_00141	K01916
FEKHAPIA_00142	K06966
FEKHAPIA_00143	K01893
FEKHAPIA_00146	K03702
FEKHAPIA_00148	K02527
FEKHAPIA_00149	K02849
FEKHAPIA_00150	K03118
FEKHAPIA_00151	K07588
FEKHAPIA_00152	K02968
FEKHAPIA_00153	K03839
FEKHAPIA_00154	K00088
FEKHAPIA_00156	K03308
FEKHAPIA_00158	K09022
FEKHAPIA_00160	K01872
FEKHAPIA_00162	K01259
FEKHAPIA_00163	K00324
FEKHAPIA_00164	K00324
FEKHAPIA_00165	K00325
FEKHAPIA_00166	K07119
FEKHAPIA_00171	K01255
FEKHAPIA_00173	K06902
FEKHAPIA_00174	K03977
FEKHAPIA_00176	K03086
FEKHAPIA_00177	K07071
FEKHAPIA_00178	K13238
FEKHAPIA_00181	K12343
FEKHAPIA_00183	K07750
FEKHAPIA_00186	K00249
FEKHAPIA_00190	K07305
FEKHAPIA_00197	K06925
FEKHAPIA_00198	K14742
FEKHAPIA_00199	K01963
FEKHAPIA_00200	K01951
FEKHAPIA_00201	K01135
FEKHAPIA_00203	K00820
FEKHAPIA_00206	K11741
FEKHAPIA_00210	K05810
