HOJPHHHG_00002	K01914
HOJPHHHG_00007	K01893
HOJPHHHG_00009	K06176
HOJPHHHG_00011	K07089
HOJPHHHG_00015	K14713
HOJPHHHG_00016	K03724
HOJPHHHG_00017	K12132
HOJPHHHG_00019	K01092
HOJPHHHG_00023	K01870
HOJPHHHG_00026	K03086
HOJPHHHG_00029	K14959
HOJPHHHG_00032	K03086
HOJPHHHG_00036	K07579
HOJPHHHG_00038	K01537
HOJPHHHG_00039	K12591
HOJPHHHG_00046	K01843
HOJPHHHG_00053	K03834
HOJPHHHG_00055	K01974
HOJPHHHG_00057	K07580
HOJPHHHG_00061	K00555
HOJPHHHG_00062	K03243
HOJPHHHG_00064	K03609
HOJPHHHG_00069	K03072
HOJPHHHG_00070	K03074
HOJPHHHG_00075	K10725
HOJPHHHG_00076	K02323
HOJPHHHG_00077	K02322
HOJPHHHG_00079	K03238
HOJPHHHG_00086	K00784
HOJPHHHG_00089	K07025
HOJPHHHG_00090	K01866
HOJPHHHG_00091	K17732
HOJPHHHG_00093	K01262
HOJPHHHG_00098	K06944
HOJPHHHG_00099	K01953
HOJPHHHG_00100	K06927
HOJPHHHG_00103	K03386
HOJPHHHG_00105	K04564
HOJPHHHG_00108	K17686
HOJPHHHG_00115	K04802
HOJPHHHG_00117	K12574
HOJPHHHG_00129	K06024
HOJPHHHG_00131	K06917
HOJPHHHG_00135	K18310
HOJPHHHG_00136	K03294
HOJPHHHG_00141	K17758
HOJPHHHG_00147	K13444
HOJPHHHG_00149	K02503
HOJPHHHG_00154	K03168
HOJPHHHG_00157	K03555
HOJPHHHG_00160	K00772
HOJPHHHG_00162	K01251
HOJPHHHG_00164	K09482
HOJPHHHG_00170	K07159
HOJPHHHG_00172	K01409
HOJPHHHG_00174	K03572
HOJPHHHG_00176	K00826
HOJPHHHG_00177	K08799
HOJPHHHG_00183	K06871
HOJPHHHG_00185	K07301
HOJPHHHG_00186	K12598
HOJPHHHG_00188	K00586
HOJPHHHG_00205	K01872
HOJPHHHG_00207	K21929
HOJPHHHG_00208	K02977
HOJPHHHG_00211	K03049
HOJPHHHG_00215	K17734
HOJPHHHG_00216	K04773
HOJPHHHG_00229	K03657
HOJPHHHG_00231	K01883
HOJPHHHG_00232	K01873
HOJPHHHG_00240	K03427
HOJPHHHG_00245	K09728
HOJPHHHG_00248	K03678
HOJPHHHG_00249	K11600
HOJPHHHG_00250	K03679
HOJPHHHG_00251	K14574
HOJPHHHG_00252	K03432
HOJPHHHG_00253	K03537
HOJPHHHG_00257	K04042
HOJPHHHG_00261	K02967
HOJPHHHG_00266	K01872
HOJPHHHG_00272	K14168
HOJPHHHG_00273	K03151
HOJPHHHG_00274	K03120
HOJPHHHG_00275	K10726
HOJPHHHG_00281	K07466
HOJPHHHG_00286	K04483
HOJPHHHG_00289	K00773
HOJPHHHG_00291	K01868
HOJPHHHG_00292	K02953
HOJPHHHG_00301	K11936
HOJPHHHG_00306	K04484
HOJPHHHG_00312	K01996
HOJPHHHG_00317	K22447
HOJPHHHG_00319	K02003
HOJPHHHG_00321	K02004
HOJPHHHG_00322	K02004
HOJPHHHG_00323	K15634
HOJPHHHG_00329	K04487
HOJPHHHG_00331	K03546
HOJPHHHG_00344	K02922
HOJPHHHG_00348	K03778
HOJPHHHG_00351	K00948
