GMCMGICM_00001	K04079
GMCMGICM_00003	K06187
GMCMGICM_00004	K07011
GMCMGICM_00005	K00658
GMCMGICM_00007	K03742
GMCMGICM_00008	K02902
GMCMGICM_00009	K02913
GMCMGICM_00011	K03110
GMCMGICM_00012	K14441
GMCMGICM_00015	K01951
GMCMGICM_00017	K01937
GMCMGICM_00018	K03217
GMCMGICM_00019	K07037
GMCMGICM_00024	K00639
GMCMGICM_00025	K15789
GMCMGICM_00027	K03548
GMCMGICM_00028	K09761
GMCMGICM_00029	K01409
GMCMGICM_00030	K00850
GMCMGICM_00031	K00134
GMCMGICM_00033	K09022
GMCMGICM_00035	K01448
GMCMGICM_00036	K02067
GMCMGICM_00042	K00754
GMCMGICM_00046	K00104
GMCMGICM_00047	K11102
GMCMGICM_00048	K03648
GMCMGICM_00049	K00757
GMCMGICM_00055	K03502
GMCMGICM_00056	K03503
GMCMGICM_00062	K01892
GMCMGICM_00063	K02939
GMCMGICM_00064	K02963
GMCMGICM_00065	K02990
GMCMGICM_00067	K04066
GMCMGICM_00068	K00783
GMCMGICM_00069	K02428
GMCMGICM_00072	K01756
GMCMGICM_00076	K09760
GMCMGICM_00077	K01955
GMCMGICM_00078	K02914
GMCMGICM_00082	K18707
GMCMGICM_00083	K12368
GMCMGICM_00084	K00621
GMCMGICM_00085	K02909
GMCMGICM_00089	K01835
GMCMGICM_00090	K06147
GMCMGICM_00091	K01952
GMCMGICM_00092	K01298
GMCMGICM_00094	K07516
GMCMGICM_00095	K00632
GMCMGICM_00100	K00384
GMCMGICM_00101	K21430
GMCMGICM_00102	K00876
GMCMGICM_00104	K01847
GMCMGICM_00105	K01847
GMCMGICM_00106	K03496
GMCMGICM_00107	K03497
GMCMGICM_00109	K03100
GMCMGICM_00114	K03572
GMCMGICM_00116	K00794
GMCMGICM_00118	K03629
GMCMGICM_00121	K00940
GMCMGICM_00122	K06881
GMCMGICM_00123	K12733
GMCMGICM_00124	K01270
GMCMGICM_00126	K03437
GMCMGICM_00127	K00951
GMCMGICM_00128	K03711
GMCMGICM_00129	K01939
GMCMGICM_00131	K00821
GMCMGICM_00133	K08974
GMCMGICM_00134	K08974
GMCMGICM_00136	K00566
GMCMGICM_00138	K03217
GMCMGICM_00139	K01937
GMCMGICM_00143	K09793
GMCMGICM_00145	K01159
GMCMGICM_00147	K01714
GMCMGICM_00148	K00151
GMCMGICM_00151	K18384
GMCMGICM_00152	K00285
GMCMGICM_00153	K14286
GMCMGICM_00155	K10805
GMCMGICM_00156	K01597
GMCMGICM_00157	K00869
GMCMGICM_00160	K00948
GMCMGICM_00161	K02897
GMCMGICM_00162	K01056
GMCMGICM_00163	K11753
GMCMGICM_00164	K01875
GMCMGICM_00165	K02528
GMCMGICM_00166	K03701
GMCMGICM_00172	K00652
GMCMGICM_00173	K01697
GMCMGICM_00174	K01620
GMCMGICM_00176	K02836
GMCMGICM_00177	K00537
GMCMGICM_00180	K01679
GMCMGICM_00181	K01468
GMCMGICM_00182	K13990
GMCMGICM_00188	K07052
GMCMGICM_00190	K19222
GMCMGICM_00192	K04043
GMCMGICM_00193	K00606
GMCMGICM_00194	K06180
GMCMGICM_00196	K00496
GMCMGICM_00197	K00128
GMCMGICM_00198	K06350
GMCMGICM_00199	K06351
GMCMGICM_00200	K07160
GMCMGICM_00202	K04075
GMCMGICM_00203	K00382
GMCMGICM_00204	K03315
GMCMGICM_00205	K03466
GMCMGICM_00207	K07091
GMCMGICM_00208	K14652
