GJALPCBL_00001	K03701
GJALPCBL_00002	K07098
GJALPCBL_00010	K02346
GJALPCBL_00011	K01356
GJALPCBL_00017	K03778
GJALPCBL_00022	K02935
GJALPCBL_00024	K00754
GJALPCBL_00034	K02836
GJALPCBL_00045	K02528
GJALPCBL_00046	K01626
GJALPCBL_00049	K03657
GJALPCBL_00053	K10773
GJALPCBL_00054	K02342
GJALPCBL_00055	K01462
GJALPCBL_00056	K02434
GJALPCBL_00057	K02356
GJALPCBL_00060	K06287
GJALPCBL_00063	K01867
GJALPCBL_00064	K06179
GJALPCBL_00069	K14656
GJALPCBL_00071	K02654
GJALPCBL_00078	K01465
GJALPCBL_00079	K00609
GJALPCBL_00082	K01955
GJALPCBL_00087	K00566
GJALPCBL_00089	K03553
GJALPCBL_00091	K02314
GJALPCBL_00092	K01000
GJALPCBL_00093	K00134
GJALPCBL_00094	K03841
GJALPCBL_00098	K00858
GJALPCBL_00100	K03551
GJALPCBL_00104	K07243
GJALPCBL_00105	K03424
GJALPCBL_00110	K01874
GJALPCBL_00113	K00604
GJALPCBL_00115	K06881
GJALPCBL_00118	K06881
GJALPCBL_00119	K01689
GJALPCBL_00121	K03284
GJALPCBL_00126	K00616
GJALPCBL_00127	K00033
GJALPCBL_00128	K01537
GJALPCBL_00129	K00507
GJALPCBL_00132	K03438
GJALPCBL_00135	K15987
GJALPCBL_00136	K00088
GJALPCBL_00138	K06966
GJALPCBL_00139	K01937
GJALPCBL_00145	K00728
GJALPCBL_00146	K11936
GJALPCBL_00157	K15640
GJALPCBL_00163	K01872
GJALPCBL_00169	K03702
GJALPCBL_00172	K01924
GJALPCBL_00175	K01952
GJALPCBL_00178	K18682
GJALPCBL_00184	K01587
GJALPCBL_00185	K21929
GJALPCBL_00191	K01711
GJALPCBL_00196	K03043
GJALPCBL_00197	K03111
GJALPCBL_00203	K02888
GJALPCBL_00204	K00773
GJALPCBL_00206	K01358
GJALPCBL_00208	K01925
GJALPCBL_00209	K11105
GJALPCBL_00211	K00948
GJALPCBL_00216	K16881
GJALPCBL_00218	K22316
GJALPCBL_00220	K03797
GJALPCBL_00221	K00940
GJALPCBL_00230	K06180
GJALPCBL_00231	K01866
GJALPCBL_00235	K12267
GJALPCBL_00241	K06889
GJALPCBL_00244	K04078
GJALPCBL_00252	K01835
GJALPCBL_00254	K01424
GJALPCBL_00255	K00942
GJALPCBL_00257	K00648
GJALPCBL_00258	K02316
GJALPCBL_00259	K03086
GJALPCBL_00261	K01873
GJALPCBL_00264	K00962
GJALPCBL_00267	K06942
GJALPCBL_00272	K06878
GJALPCBL_00273	K00615
GJALPCBL_00276	K02242
GJALPCBL_00277	K11749
GJALPCBL_00278	K02313
GJALPCBL_00279	K01868
GJALPCBL_00280	K04487
GJALPCBL_00282	K03217
GJALPCBL_00287	K03686
GJALPCBL_00290	K03530
GJALPCBL_00291	K03168
GJALPCBL_00293	K05592
GJALPCBL_00297	K09667
GJALPCBL_00298	K22736
GJALPCBL_00310	K01129
GJALPCBL_00311	K14588
GJALPCBL_00312	K03695
GJALPCBL_00314	K00943
GJALPCBL_00315	K01491
GJALPCBL_00316	K00764
GJALPCBL_00317	K01945
GJALPCBL_00318	K12687
GJALPCBL_00319	K06119
GJALPCBL_00320	K00973
GJALPCBL_00321	K01710
GJALPCBL_00323	K03696
GJALPCBL_00332	K02835
GJALPCBL_00334	K01870
