AGBCBMFN_00001	K18979
AGBCBMFN_00002	K01469
AGBCBMFN_00008	K03296
AGBCBMFN_00009	K06147
AGBCBMFN_00011	K11206
AGBCBMFN_00012	K03676
AGBCBMFN_00014	K18162
AGBCBMFN_00015	K01772
AGBCBMFN_00016	K07119
AGBCBMFN_00018	K11729
AGBCBMFN_00021	K00059
AGBCBMFN_00022	K03684
AGBCBMFN_00025	K03495
AGBCBMFN_00026	K03650
AGBCBMFN_00027	K03628
AGBCBMFN_00028	K08973
AGBCBMFN_00030	K00014
AGBCBMFN_00032	K02342
AGBCBMFN_00033	K03071
AGBCBMFN_00034	K07113
AGBCBMFN_00037	K03518
AGBCBMFN_00038	K03520
AGBCBMFN_00039	K03519
AGBCBMFN_00040	K00674
AGBCBMFN_00042	K01091
AGBCBMFN_00043	K01439
AGBCBMFN_00045	K09790
AGBCBMFN_00047	K02428
AGBCBMFN_00048	K00989
AGBCBMFN_00049	K03705
AGBCBMFN_00050	K03687
AGBCBMFN_00051	K03555
AGBCBMFN_00052	K00029
AGBCBMFN_00055	K01823
AGBCBMFN_00056	K10960
AGBCBMFN_00058	K04040
AGBCBMFN_00059	K04039
AGBCBMFN_00060	K04038
AGBCBMFN_00065	K02302
AGBCBMFN_00067	K00392
AGBCBMFN_00069	K00528
AGBCBMFN_00070	K02520
AGBCBMFN_00072	K07402
AGBCBMFN_00074	K00651
AGBCBMFN_00079	K06207
AGBCBMFN_00080	K01872
AGBCBMFN_00081	K03553
AGBCBMFN_00083	K03500
AGBCBMFN_00084	K00088
AGBCBMFN_00085	K01480
AGBCBMFN_00088	K00962
AGBCBMFN_00089	K02956
AGBCBMFN_00093	K03177
AGBCBMFN_00095	K00135
AGBCBMFN_00096	K01432
AGBCBMFN_00097	K01091
AGBCBMFN_00099	K01783
AGBCBMFN_00103	K05799
AGBCBMFN_00106	K03529
AGBCBMFN_00108	K02227
AGBCBMFN_00112	K14155
AGBCBMFN_00113	K01462
AGBCBMFN_00114	K01462
AGBCBMFN_00115	K00604
AGBCBMFN_00117	K03500
AGBCBMFN_00120	K01262
AGBCBMFN_00126	K02434
AGBCBMFN_00128	K00554
AGBCBMFN_00130	K02959
AGBCBMFN_00133	K03106
AGBCBMFN_00136	K01756
AGBCBMFN_00138	K02517
AGBCBMFN_00141	K07425
AGBCBMFN_00144	K01679
AGBCBMFN_00148	K05799
AGBCBMFN_00151	K00605
AGBCBMFN_00152	K19745
AGBCBMFN_00153	K02168
AGBCBMFN_00155	K01669
AGBCBMFN_00156	K00574
AGBCBMFN_00157	K01738
AGBCBMFN_00158	K05802
AGBCBMFN_00167	K03522
AGBCBMFN_00168	K03521
AGBCBMFN_00169	K00798
AGBCBMFN_00172	K02621
AGBCBMFN_00173	K11529
AGBCBMFN_00175	K00375
AGBCBMFN_00176	K01652
AGBCBMFN_00177	K03426
AGBCBMFN_00180	K05359
AGBCBMFN_00181	K08738
AGBCBMFN_00182	K13893
AGBCBMFN_00183	K13894
AGBCBMFN_00184	K13895
AGBCBMFN_00185	K00335
AGBCBMFN_00186	K03601
AGBCBMFN_00187	K01945
AGBCBMFN_00188	K22071
AGBCBMFN_00189	K14162
AGBCBMFN_00190	K04771
AGBCBMFN_00192	K04087
AGBCBMFN_00193	K04088
AGBCBMFN_00194	K00383
AGBCBMFN_00195	K01807
AGBCBMFN_00196	K01142
AGBCBMFN_00198	K06204
AGBCBMFN_00202	K01198
AGBCBMFN_00203	K22305
AGBCBMFN_00209	K00252
AGBCBMFN_00210	K07657
AGBCBMFN_00211	K02039
AGBCBMFN_00212	K02036
AGBCBMFN_00213	K02038
AGBCBMFN_00214	K02037
AGBCBMFN_00216	K02041
AGBCBMFN_00222	K18981
AGBCBMFN_00223	K18166
AGBCBMFN_00224	K01474
AGBCBMFN_00225	K01473
AGBCBMFN_00226	K06145
AGBCBMFN_00230	K21393
AGBCBMFN_00231	K00013
AGBCBMFN_00232	K00059
AGBCBMFN_00233	K08680
AGBCBMFN_00236	K00128
AGBCBMFN_00238	K15552
AGBCBMFN_00239	K02049
AGBCBMFN_00241	K18204
