OFGNKLEL_00013	K09815
OFGNKLEL_00014	K09817
OFGNKLEL_00015	K09816
OFGNKLEL_00027	K03671
OFGNKLEL_00029	K01735
OFGNKLEL_00030	K03856
OFGNKLEL_00031	K01876
OFGNKLEL_00032	K01892
OFGNKLEL_00033	K00013
OFGNKLEL_00034	K03569
OFGNKLEL_00035	K03570
OFGNKLEL_00037	K05515
OFGNKLEL_00038	K05837
OFGNKLEL_00041	K02113
OFGNKLEL_00042	K02111
OFGNKLEL_00043	K02115
OFGNKLEL_00044	K02112
OFGNKLEL_00045	K02114
OFGNKLEL_00047	K07080
OFGNKLEL_00049	K21393
OFGNKLEL_00051	K21395
OFGNKLEL_00054	K00215
OFGNKLEL_00057	K00764
OFGNKLEL_00059	K03581
OFGNKLEL_00067	K01940
OFGNKLEL_00068	K00769
OFGNKLEL_00071	K00196
OFGNKLEL_00072	K03974
OFGNKLEL_00074	K01586
OFGNKLEL_00076	K01895
OFGNKLEL_00078	K05788
OFGNKLEL_00083	K05540
OFGNKLEL_00084	K09457
OFGNKLEL_00086	K03595
OFGNKLEL_00087	K03978
OFGNKLEL_00092	K03282
OFGNKLEL_00100	K15836
OFGNKLEL_00101	K02669
OFGNKLEL_00102	K02669
OFGNKLEL_00104	K02221
OFGNKLEL_00113	K00936
OFGNKLEL_00118	K03086
OFGNKLEL_00121	K03593
OFGNKLEL_00122	K01129
OFGNKLEL_00123	K09740
OFGNKLEL_00127	K13888
OFGNKLEL_00129	K06950
OFGNKLEL_00130	K02836
OFGNKLEL_00131	K05588
OFGNKLEL_00134	K07710
OFGNKLEL_00135	K02481
OFGNKLEL_00137	K05516
OFGNKLEL_00143	K09898
OFGNKLEL_00145	K07502
OFGNKLEL_00148	K00425
OFGNKLEL_00149	K00426
OFGNKLEL_00153	K01258
OFGNKLEL_00154	K09121
OFGNKLEL_00155	K01095
OFGNKLEL_00156	K03553
OFGNKLEL_00157	K01872
OFGNKLEL_00158	K13894
OFGNKLEL_00160	K01912
OFGNKLEL_00163	K07071
OFGNKLEL_00172	K03924
OFGNKLEL_00175	K07114
OFGNKLEL_00176	K07114
OFGNKLEL_00181	K07636
OFGNKLEL_00182	K02484
OFGNKLEL_00183	K00060
OFGNKLEL_00184	K18967
OFGNKLEL_00187	K00248
OFGNKLEL_00188	K15016
OFGNKLEL_00192	K00057
OFGNKLEL_00194	K02527
OFGNKLEL_00195	K00548
OFGNKLEL_00200	K07062
OFGNKLEL_00204	K07714
OFGNKLEL_00208	K01129
OFGNKLEL_00209	K11991
OFGNKLEL_00210	K02520
OFGNKLEL_00211	K02916
OFGNKLEL_00212	K02887
