LOIDMEJA_00001	K16046
LOIDMEJA_00004	K00626
LOIDMEJA_00008	K11068
LOIDMEJA_00009	K05591
LOIDMEJA_00021	K01662
LOIDMEJA_00022	K14652
LOIDMEJA_00024	K01095
LOIDMEJA_00025	K21929
LOIDMEJA_00026	K07689
LOIDMEJA_00027	K00252
LOIDMEJA_00038	K07119
LOIDMEJA_00039	K11147
LOIDMEJA_00040	K01698
LOIDMEJA_00041	K03671
LOIDMEJA_00042	K03628
LOIDMEJA_00043	K05368
LOIDMEJA_00046	K01719
LOIDMEJA_00047	K01749
LOIDMEJA_00049	K03074
LOIDMEJA_00050	K01092
LOIDMEJA_00051	K15396
LOIDMEJA_00052	K13643
LOIDMEJA_00053	K04487
LOIDMEJA_00054	K22068
LOIDMEJA_00055	K13628
LOIDMEJA_00056	K04082
LOIDMEJA_00057	K04044
LOIDMEJA_00058	K04755
LOIDMEJA_00060	K00940
LOIDMEJA_00061	K06941
LOIDMEJA_00064	K01892
LOIDMEJA_00067	K03977
LOIDMEJA_00069	K03601
LOIDMEJA_00070	K01951
LOIDMEJA_00075	K01625
LOIDMEJA_00076	K01130
LOIDMEJA_00077	K00059
LOIDMEJA_00078	K03392
LOIDMEJA_00080	K18444
LOIDMEJA_00081	K11527
LOIDMEJA_00083	K02481
LOIDMEJA_00088	K01133
LOIDMEJA_00091	K01692
LOIDMEJA_00092	K01965
LOIDMEJA_00096	K00253
LOIDMEJA_00098	K01495
LOIDMEJA_00099	K01736
LOIDMEJA_00100	K21900
LOIDMEJA_00105	K02454
LOIDMEJA_00106	K05798
LOIDMEJA_00107	K00609
LOIDMEJA_00108	K01840
LOIDMEJA_00109	K01738
LOIDMEJA_00110	K03522
LOIDMEJA_00111	K03521
LOIDMEJA_00112	K00311
LOIDMEJA_00116	K05501
LOIDMEJA_00117	K00930
LOIDMEJA_00118	K01835
LOIDMEJA_00119	K01520
LOIDMEJA_00120	K13038
LOIDMEJA_00121	K03630
LOIDMEJA_00122	K02902
LOIDMEJA_00123	K02913
LOIDMEJA_00124	K10563
