CLBEIFOI_00001	K11173
CLBEIFOI_00002	K01841
CLBEIFOI_00004	K09117
CLBEIFOI_00005	K01956
CLBEIFOI_00008	K07025
CLBEIFOI_00009	K03184
CLBEIFOI_00013	K00053
CLBEIFOI_00015	K03431
CLBEIFOI_00016	K00796
CLBEIFOI_00019	K01006
CLBEIFOI_00020	K01879
CLBEIFOI_00022	K01878
CLBEIFOI_00024	K01652
CLBEIFOI_00025	K03498
CLBEIFOI_00026	K09007
CLBEIFOI_00027	K10764
CLBEIFOI_00028	K11209
CLBEIFOI_00029	K06190
CLBEIFOI_00031	K03110
CLBEIFOI_00032	K00335
CLBEIFOI_00033	K03601
CLBEIFOI_00034	K01945
CLBEIFOI_00035	K22071
CLBEIFOI_00036	K14162
CLBEIFOI_00037	K04771
CLBEIFOI_00039	K04087
CLBEIFOI_00040	K04088
CLBEIFOI_00041	K00383
CLBEIFOI_00042	K01807
CLBEIFOI_00043	K01752
CLBEIFOI_00048	K01939
CLBEIFOI_00053	K01937
CLBEIFOI_00054	K07115
CLBEIFOI_00056	K10017
CLBEIFOI_00057	K02029
CLBEIFOI_00058	K10016
CLBEIFOI_00059	K10015
CLBEIFOI_00060	K09470
CLBEIFOI_00061	K22314
CLBEIFOI_00062	K01915
CLBEIFOI_00063	K09471
CLBEIFOI_00066	K03821
CLBEIFOI_00067	K05973
CLBEIFOI_00068	K00078
CLBEIFOI_00069	K03089
CLBEIFOI_00070	K06180
CLBEIFOI_00072	K03465
CLBEIFOI_00073	K01759
CLBEIFOI_00077	K00812
CLBEIFOI_00078	K03327
CLBEIFOI_00079	K02622
CLBEIFOI_00081	K00073
CLBEIFOI_00083	K00830
CLBEIFOI_00084	K00817
CLBEIFOI_00085	K09808
CLBEIFOI_00086	K09810
CLBEIFOI_00087	K22073
CLBEIFOI_00088	K07149
CLBEIFOI_00089	K02356
CLBEIFOI_00093	K00573
CLBEIFOI_00097	K02874
CLBEIFOI_00098	K02895
CLBEIFOI_00099	K02931
CLBEIFOI_00100	K02954
CLBEIFOI_00101	K02994
CLBEIFOI_00102	K02933
CLBEIFOI_00103	K02881
CLBEIFOI_00104	K02988
CLBEIFOI_00105	K02907
