NOHCAPFK_00003	K01872
NOHCAPFK_00005	K02687
NOHCAPFK_00006	K00566
NOHCAPFK_00011	K01956
NOHCAPFK_00012	K04754
NOHCAPFK_00013	K07139
NOHCAPFK_00014	K08303
NOHCAPFK_00019	K21636
NOHCAPFK_00021	K04069
NOHCAPFK_00022	K02357
NOHCAPFK_00023	K02967
NOHCAPFK_00024	K01783
NOHCAPFK_00025	K15633
NOHCAPFK_00026	K06942
NOHCAPFK_00027	K01056
NOHCAPFK_00028	K02897
NOHCAPFK_00029	K03688
NOHCAPFK_00031	K03183
NOHCAPFK_00032	K01647
NOHCAPFK_00033	K15724
NOHCAPFK_00034	K00145
NOHCAPFK_00035	K01961
NOHCAPFK_00036	K02160
NOHCAPFK_00037	K03786
NOHCAPFK_00038	K04084
NOHCAPFK_00042	K01803
NOHCAPFK_00044	K02313
NOHCAPFK_00045	K02338
NOHCAPFK_00046	K03629
NOHCAPFK_00047	K02470
NOHCAPFK_00048	K00855
NOHCAPFK_00049	K07240
NOHCAPFK_00050	K01869
NOHCAPFK_00051	K17828
NOHCAPFK_00052	K01935
NOHCAPFK_00053	K03600
NOHCAPFK_00054	K03599
NOHCAPFK_00055	K00413
NOHCAPFK_00056	K00412
NOHCAPFK_00057	K00411
NOHCAPFK_00059	K03070
NOHCAPFK_00060	K09001
NOHCAPFK_00061	K01465
NOHCAPFK_00062	K11753
NOHCAPFK_00066	K01885
NOHCAPFK_00067	K00990
NOHCAPFK_00068	K03671
NOHCAPFK_00069	K03628
NOHCAPFK_00071	K09457
NOHCAPFK_00072	K00970
NOHCAPFK_00075	K13789
NOHCAPFK_00076	K00648
NOHCAPFK_00077	K03621
NOHCAPFK_00078	K02911
NOHCAPFK_00080	K03218
NOHCAPFK_00082	K04744
NOHCAPFK_00083	K04088
NOHCAPFK_00084	K04087
NOHCAPFK_00085	K02502
NOHCAPFK_00086	K01939
NOHCAPFK_00087	K12573
NOHCAPFK_00088	K03313
NOHCAPFK_00089	K01687
NOHCAPFK_00091	K07126
NOHCAPFK_00093	K01591
NOHCAPFK_00094	K07126
NOHCAPFK_00099	K01736
NOHCAPFK_00100	K03321
NOHCAPFK_00102	K10026
NOHCAPFK_00103	K03702
NOHCAPFK_00104	K00812
NOHCAPFK_00106	K03569
NOHCAPFK_00107	K03530
NOHCAPFK_00114	K07126
NOHCAPFK_00117	K06181
NOHCAPFK_00119	K03664
NOHCAPFK_00120	K03530
NOHCAPFK_00121	K00940
NOHCAPFK_00122	K06941
NOHCAPFK_00124	K03526
NOHCAPFK_00126	K01662
NOHCAPFK_00127	K00765
NOHCAPFK_00128	K00013
NOHCAPFK_00133	K03106
NOHCAPFK_00134	K00265
NOHCAPFK_00136	K00287
NOHCAPFK_00138	K03723
NOHCAPFK_00141	K22026
NOHCAPFK_00142	K03527
NOHCAPFK_00143	K03774
NOHCAPFK_00144	K01963
NOHCAPFK_00145	K01695
NOHCAPFK_00151	K06997
NOHCAPFK_00152	K02823
NOHCAPFK_00153	K00930
NOHCAPFK_00157	K14588
NOHCAPFK_00162	K02428
NOHCAPFK_00163	K01807
NOHCAPFK_00164	K01423
NOHCAPFK_00168	K06966
NOHCAPFK_00169	K01845
NOHCAPFK_00170	K02341
NOHCAPFK_00171	K00943
NOHCAPFK_00172	K07082
NOHCAPFK_00177	K05801
NOHCAPFK_00178	K11927
NOHCAPFK_00182	K03306
NOHCAPFK_00189	K01962
